id,sex,race,region,born,hhsize,adults,age,agekdbrn,sibs,dwelling,wrkstat,degree,educ,paeduc,maeduc,speduc,happy,marital,hapmar,agemar,satjob,postlife,health,class,sei,pasei,masei,spsei,rincome,income,polviews,natroad,natmass,natsci,natchld,sexornt,newsfrom,intecon,inteduc,intspace,intintl,intmil,intenvir,helpful,cantrust,conmedic,coneduc,confinan,intrhome,tvhours
11,MALE,BLACK,NORTH,YES,2,2,62,31,4,APARTMENT-4 STORIES,WORKING FULLTIME,GRADUATE,17,6,12,16,PRETTY HAPPY,MARRIED,VERY HAPPY,30,VERY SATISFIED,YES,,MIDDLE CLASS,73.9,27.7,28.4,72.5,$25000 OR MORE,$25000 OR MORE,LIBERAL,TOO LITTLE,TOO LITTLE,ABOUT RIGHT,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,NEWSPAPERS,MODERATELY INTERESTED,VERY INTERESTED,NOT AT ALL INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,HELPFUL,USUALLY TRUSTED,A GREAT DEAL,ONLY SOME,ONLY SOME,YES,3
12,MALE,BLACK,NORTH,NO,1,1,25,22,8,APARTMENT-4 STORIES,WORKING FULLTIME,GRADUATE,19,8,8,6,NOT TOO HAPPY,NEVER MARRIED,,25,VERY DISSATISFIED,,GOOD,MIDDLE CLASS,73.3,36.4,22.5,54,$25000 OR MORE,$25000 OR MORE,SLGHTLY CONSERVATIVE,ABOUT RIGHT,TOO LITTLE,TOO LITTLE,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,INTERNET,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,VERY INTERESTED,LOOKOUT FOR SELF,USUALLY TRUSTED,ONLY SOME,ONLY SOME,ONLY SOME,YES,1
13,FEMALE,WHITE,NORTH,YES,2,1,62,44,1,APARTMENT-COMMERCIAL,RETIRED,BACHELOR,18,12,12,16,VERY HAPPY,,,49,,YES,GOOD,LOWER CLASS,80.3,29.8,38.4,58,,$20000 - 24999,SLIGHTLY LIBERAL,TOO LITTLE,TOO LITTLE,TOO LITTLE,TOO LITTLE,,,,,,,,,HELPFUL,USUALLY TRUSTED,ONLY SOME,HARDLY ANY,ONLY SOME,,16
14,MALE,BLACK,NORTH,YES,2,2,71,22,7,APARTMENT-4 STORIES,RETIRED,PRIMARY/HIGH SCHOOL,16,12,15,12,VERY HAPPY,MARRIED,VERY HAPPY,21,,YES,GOOD,MIDDLE CLASS,63.2,45.9,73.2,69.2,,$25000 OR MORE,MODERATE,TOO LITTLE,TOO LITTLE,TOO LITTLE,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,,,,,,,,LOOKOUT FOR SELF,USUALLY TRUSTED,ONLY SOME,ONLY SOME,ONLY SOME,,9
15,FEMALE,BLACK,NORTH,YES,1,1,58,44,2,APARTMENT-4 STORIES,"UNEMPL, LAID OFF",BACHELOR,16,14,12,11,PRETTY HAPPY,NEVER MARRIED,,44,MOD. SATISFIED,YES,FAIR,WORKING CLASS,50.5,50.2,21,27,,,MODERATE,ABOUT RIGHT,ABOUT RIGHT,TOO LITTLE,TOO LITTLE,,TV,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,VERY INTERESTED,DEPENDS,USUAL NOT TRUSTED,ONLY SOME,A GREAT DEAL,HARDLY ANY,NO,20
16,FEMALE,OTHER,NORTH,NO,6,2,34,27,2,ROW HOUSE,KEEPING HOUSE,GRADUATE,18,16,0,16,PRETTY HAPPY,MARRIED,VERY HAPPY,25,MOD. SATISFIED,YES,FAIR,LOWER CLASS,87,41,38,33.2,,,MODERATE,ABOUT RIGHT,,ABOUT RIGHT,ABOUT RIGHT,,TV,MODERATELY INTERESTED,VERY INTERESTED,VERY INTERESTED,NOT AT ALL INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,,,,,,YES,5
17,MALE,WHITE,NORTH,NO,2,,26,44,3,APARTMENT-4 STORIES,WORKING FULLTIME,PRIMARY/HIGH SCHOOL,15,16,12,8,PRETTY HAPPY,NEVER MARRIED,,35,MOD. SATISFIED,YES,EXCELLENT,WORKING CLASS,54.5,84.7,65,77,$25000 OR MORE,$25000 OR MORE,SLGHTLY CONSERVATIVE,ABOUT RIGHT,ABOUT RIGHT,,,HETEROSEXUAL OR STRAIGHT,INTERNET,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,,,,,,YES,0
18,FEMALE,WHITE,NORTH,YES,6,2,33,20,8,DETACHED 1-FAM HOUSE,KEEPING HOUSE,PRIMARY/HIGH SCHOOL,13,12,16,19,VERY HAPPY,MARRIED,VERY HAPPY,20,VERY SATISFIED,YES,,WORKING CLASS,63.5,76.3,80.3,83.7,,$25000 OR MORE,CONSERVATIVE,,TOO LITTLE,TOO MUCH,TOO MUCH,HETEROSEXUAL OR STRAIGHT,INTERNET,NOT AT ALL INTERESTED,VERY INTERESTED,NOT AT ALL INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,NOT AT ALL INTERESTED,DEPENDS,USUALLY TRUSTED,ONLY SOME,ONLY SOME,HARDLY ANY,YES,0
19,MALE,WHITE,NORTH,NO,1,1,36,46,0,DETACHED 1-FAM HOUSE,WORKING FULLTIME,BACHELOR,16,12,12,3,PRETTY HAPPY,NEVER MARRIED,,23,VERY SATISFIED,YES,EXCELLENT,MIDDLE CLASS,81,63.5,63.5,76,$25000 OR MORE,$25000 OR MORE,EXTREMELY LIBERAL,TOO MUCH,TOO LITTLE,TOO LITTLE,TOO LITTLE,,,,,,,,,LOOKOUT FOR SELF,ALWYS NOT TRUSTED,ONLY SOME,ONLY SOME,HARDLY ANY,,22
20,MALE,OTHER,NORTH,NO,4,2,19,30,2,3-4 FAM HOUSE,WORKING PARTTIME,POST PRIMARY/HIGH SCHOOL,14,4,2,12,NOT TOO HAPPY,MARRIED,PRETTY HAPPY,26,MOD. SATISFIED,YES,GOOD,WORKING CLASS,54.2,27.5,25.5,54.2,$25000 OR MORE,$25000 OR MORE,SLIGHTLY LIBERAL,TOO LITTLE,TOO LITTLE,ABOUT RIGHT,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,NEWSPAPERS,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,,,,,,YES,2
21,MALE,WHITE,NORTH,YES,2,2,52,21,4,2 UNITS SIDE BY SIDE,RETIRED,PRIMARY/HIGH SCHOOL,12,19,12,18,VERY HAPPY,MARRIED,VERY HAPPY,18,,YES,FAIR,MIDDLE CLASS,63.5,33.1,61,78.5,,$25000 OR MORE,MODERATE,TOO LITTLE,TOO LITTLE,TOO MUCH,TOO LITTLE,,,,,,,,,LOOKOUT FOR SELF,USUAL NOT TRUSTED,A GREAT DEAL,A GREAT DEAL,HARDLY ANY,,15
22,FEMALE,WHITE,NORTH,NO,3,2,61,20,12,DETACHED 1-FAM HOUSE,WORKING FULLTIME,LESS THAN PRIMARY/HIGH SCHOOL,12,8,5,13,PRETTY HAPPY,DIVORCED,,17,VERY SATISFIED,YES,FAIR,MIDDLE CLASS,36.1,27.2,27.7,92,$25000 OR MORE,$25000 OR MORE,CONSERVATIVE,TOO MUCH,TOO LITTLE,TOO LITTLE,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,,,,,,,,HELPFUL,USUALLY TRUSTED,ONLY SOME,ONLY SOME,ONLY SOME,,20
23,FEMALE,WHITE,NORTH,YES,2,2,63,23,3,DETACHED 1-FAM HOUSE,KEEPING HOUSE,PRIMARY/HIGH SCHOOL,12,10,12,13,PRETTY HAPPY,MARRIED,VERY HAPPY,24,MOD. SATISFIED,YES,POOR,MIDDLE CLASS,29,49.6,24,31.5,,$25000 OR MORE,MODERATE,TOO LITTLE,ABOUT RIGHT,ABOUT RIGHT,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,,,,,,,,LOOKOUT FOR SELF,USUAL NOT TRUSTED,HARDLY ANY,ONLY SOME,ONLY SOME,,22
24,FEMALE,WHITE,NORTH,YES,4,3,74,23,4,DETACHED 1-FAM HOUSE,RETIRED,PRIMARY/HIGH SCHOOL,13,11,12,12,PRETTY HAPPY,MARRIED,PRETTY HAPPY,17,,YES,GOOD,WORKING CLASS,76.4,40.9,71,45.8,,,CONSERVATIVE,TOO LITTLE,TOO LITTLE,ABOUT RIGHT,TOO LITTLE,,NEWSPAPERS,NOT AT ALL INTERESTED,MODERATELY INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,MODERATELY INTERESTED,,,,,,YES,4
25,FEMALE,WHITE,NORTH,YES,1,1,70,22,5,DETACHED 1-FAM HOUSE,KEEPING HOUSE,PRIMARY/HIGH SCHOOL,13,11,12,7,PRETTY HAPPY,WIDOWED,,17,VERY SATISFIED,,EXCELLENT,MIDDLE CLASS,41,38.2,22,50,,,CONSERVATIVE,TOO LITTLE,TOO LITTLE,TOO LITTLE,TOO LITTLE,,NEWSPAPERS,VERY INTERESTED,VERY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,VERY INTERESTED,HELPFUL,USUAL NOT TRUSTED,ONLY SOME,A GREAT DEAL,ONLY SOME,YES,8
26,FEMALE,WHITE,NORTH,YES,4,2,38,35,4,DETACHED 1-FAM HOUSE,KEEPING HOUSE,PRIMARY/HIGH SCHOOL,12,2,12,13,VERY HAPPY,MARRIED,VERY HAPPY,31,VERY SATISFIED,YES,GOOD,WORKING CLASS,39.6,44.7,38.4,63.2,,,SLIGHTLY LIBERAL,TOO LITTLE,TOO LITTLE,TOO LITTLE,TOO LITTLE,,,,,,,,,HELPFUL,USUALLY TRUSTED,ONLY SOME,ONLY SOME,ONLY SOME,,8
27,MALE,BLACK,NORTH,NO,2,2,32,25,3,APARTMENT-4 STORIES,WORKING FULLTIME,PRIMARY/HIGH SCHOOL,14,10,12,0,PRETTY HAPPY,SEPARATED,,24,VERY SATISFIED,YES,EXCELLENT,WORKING CLASS,28.4,34,22.5,81,$25000 OR MORE,$25000 OR MORE,MODERATE,ABOUT RIGHT,ABOUT RIGHT,TOO MUCH,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,TV,NOT AT ALL INTERESTED,VERY INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,DEPENDS,USUAL NOT TRUSTED,A GREAT DEAL,A GREAT DEAL,ONLY SOME,NO,14
28,MALE,OTHER,NORTH,YES,2,2,42,22,2,DETACHED 1-FAM HOUSE,WORKING FULLTIME,GRADUATE,18,20,18,3,PRETTY HAPPY,NEVER MARRIED,,19,MOD. SATISFIED,YES,,MIDDLE CLASS,76.4,60,30,73,$25000 OR MORE,$25000 OR MORE,SLIGHTLY LIBERAL,ABOUT RIGHT,ABOUT RIGHT,TOO LITTLE,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,NEWSPAPERS,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,VERY INTERESTED,VERY INTERESTED,HELPFUL,USUALLY TRUSTED,ONLY SOME,ONLY SOME,ONLY SOME,YES,3
29,MALE,BLACK,NORTH,NO,1,1,57,23,6,APARTMENT-COMMERCIAL,WORKING FULLTIME,POST PRIMARY/HIGH SCHOOL,14,11,12,20,PRETTY HAPPY,SEPARATED,,23,MOD. SATISFIED,YES,GOOD,WORKING CLASS,63.5,28.4,28.6,36,$25000 OR MORE,$25000 OR MORE,MODERATE,TOO LITTLE,TOO MUCH,TOO MUCH,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,,,,,,,,LOOKOUT FOR SELF,ALWYS NOT TRUSTED,ONLY SOME,ONLY SOME,HARDLY ANY,,20
30,MALE,WHITE,NORTH,YES,1,1,45,53,1,APARTMENT-4 STORIES,WORKING FULLTIME,GRADUATE,18,16,12,5,VERY HAPPY,NEVER MARRIED,,23,VERY SATISFIED,YES,EXCELLENT,MIDDLE CLASS,97.2,86.7,38.4,28,$25000 OR MORE,$25000 OR MORE,LIBERAL,TOO LITTLE,ABOUT RIGHT,,,"GAY, LESBIAN OR HOMOSEXUAL",TV,VERY INTERESTED,NOT AT ALL INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,VERY INTERESTED,,,,,,YES,1
31,FEMALE,WHITE,NORTH,YES,1,1,78,22,1,OTHER,RETIRED,GRADUATE,18,0,0,20,,NEVER MARRIED,,34,,NO,,MIDDLE CLASS,92.3,33.9,55,89,,$25000 OR MORE,LIBERAL,TOO LITTLE,TOO LITTLE,TOO LITTLE,TOO LITTLE,,NEWSPAPERS,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,HELPFUL,ALWAYS TRUSTED,ONLY SOME,ONLY SOME,HARDLY ANY,YES,2
32,FEMALE,OTHER,NORTH,NO,3,2,20,25,11,APARTMENT-4 STORIES,WORKING FULLTIME,PRIMARY/HIGH SCHOOL,12,10,10,15,PRETTY HAPPY,MARRIED,PRETTY HAPPY,22,VERY SATISFIED,YES,GOOD,WORKING CLASS,30.8,44.7,31,37.9,,,MODERATE,,TOO LITTLE,TOO MUCH,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,TV,,VERY INTERESTED,NOT AT ALL INTERESTED,,,,,,,,,YES,2
33,MALE,OTHER,NORTH,NO,3,2,49,25,7,APARTMENT HOUSE,WORKING FULLTIME,LESS THAN PRIMARY/HIGH SCHOOL,10,3,0,3,PRETTY HAPPY,SEPARATED,,21,MOD. SATISFIED,,FAIR,WORKING CLASS,32.3,37.3,63,42,,,,TOO LITTLE,TOO MUCH,ABOUT RIGHT,TOO MUCH,HETEROSEXUAL OR STRAIGHT,TV,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,,,,,,NO,3
34,FEMALE,WHITE,NORTH,NO,1,1,87,19,4,APARTMENT-4 STORIES,WORKING FULLTIME,PRIMARY/HIGH SCHOOL,12,20,2,12,VERY HAPPY,MARRIED,VERY HAPPY,17,A LITTLE DISSAT,NO,GOOD,WORKING CLASS,20.1,25.5,19,32.3,$20000 - 24999,$20000 - 24999,MODERATE,,TOO MUCH,,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,TV,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,,,,,,NO,2
35,MALE,WHITE,NORTH,YES,1,1,43,33,1,APARTMENT HOUSE,KEEPING HOUSE,BACHELOR,16,12,12,5,NOT TOO HAPPY,,,47,MOD. SATISFIED,YES,EXCELLENT,WORKING CLASS,89,54.2,60,81,,,,TOO LITTLE,TOO LITTLE,TOO MUCH,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,TV,NOT AT ALL INTERESTED,MODERATELY INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,MODERATELY INTERESTED,NOT AT ALL INTERESTED,,,,,,NO,1
36,FEMALE,WHITE,NORTH,YES,1,1,37,61,2,3-4 FAM HOUSE,WORKING FULLTIME,BACHELOR,16,6,12,3,PRETTY HAPPY,NEVER MARRIED,,31,VERY SATISFIED,YES,,MIDDLE CLASS,63.5,25.9,73,56,$25000 OR MORE,$25000 OR MORE,CONSERVATIVE,TOO LITTLE,ABOUT RIGHT,,,HETEROSEXUAL OR STRAIGHT,INTERNET,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,HELPFUL,USUAL NOT TRUSTED,A GREAT DEAL,ONLY SOME,A GREAT DEAL,YES,3
37,FEMALE,OTHER,NORTH,NO,3,2,30,21,1,APARTMENT-4 STORIES,WORKING FULLTIME,BACHELOR,16,9,12,14,VERY HAPPY,MARRIED,VERY HAPPY,20,MOD. SATISFIED,,EXCELLENT,WORKING CLASS,50.7,49,27.7,27.5,,,,ABOUT RIGHT,ABOUT RIGHT,TOO LITTLE,TOO LITTLE,,INTERNET,,VERY INTERESTED,,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,,,,,,,YES,2
38,FEMALE,WHITE,NORTH,YES,4,4,53,28,3,DETACHED 1-FAM HOUSE,WORKING PARTTIME,POST PRIMARY/HIGH SCHOOL,14,18,16,12,PRETTY HAPPY,MARRIED,PRETTY HAPPY,22,VERY SATISFIED,YES,GOOD,MIDDLE CLASS,37.4,93.3,92,38.9,,,MODERATE,TOO LITTLE,ABOUT RIGHT,TOO LITTLE,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,INTERNET,MODERATELY INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,,,,,,YES,1
39,FEMALE,WHITE,NORTH,NO,2,2,78,32,1,DETACHED 1-FAM HOUSE,RETIRED,BACHELOR,16,17,12,17,VERY HAPPY,MARRIED,VERY HAPPY,29,,,FAIR,MIDDLE CLASS,26.4,86,20,62,,,CONSERVATIVE,ABOUT RIGHT,ABOUT RIGHT,,,,FAMILY,MODERATELY INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,HELPFUL,USUALLY TRUSTED,A GREAT DEAL,HARDLY ANY,,YES,13
40,FEMALE,OTHER,NORTH,NO,2,2,38,15,2,DETACHED 1-FAM HOUSE,SCHOOL,BACHELOR,16,16,15,15,VERY HAPPY,MARRIED,VERY HAPPY,41,,YES,GOOD,MIDDLE CLASS,84.7,67,78.5,86.6,,$25000 OR MORE,SLGHTLY CONSERVATIVE,TOO LITTLE,TOO LITTLE,ABOUT RIGHT,,HETEROSEXUAL OR STRAIGHT,INTERNET,VERY INTERESTED,VERY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,,,,,,YES,4
41,FEMALE,OTHER,NORTH,NO,2,2,64,24,5,2 UNITS-ONE ABOVE,RETIRED,PRIMARY/HIGH SCHOOL,14,6,6,16,PRETTY HAPPY,MARRIED,PRETTY HAPPY,20,,YES,GOOD,WORKING CLASS,50.7,37.3,49,50.7,,,MODERATE,,ABOUT RIGHT,TOO MUCH,TOO LITTLE,,INTERNET,MODERATELY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,NOT AT ALL INTERESTED,,DEPENDS,USUAL NOT TRUSTED,HARDLY ANY,,,YES,11
42,FEMALE,WHITE,NORTH,YES,2,2,60,20,5,DETACHED 1-FAM HOUSE,KEEPING HOUSE,PRIMARY/HIGH SCHOOL,10,11,10,12,VERY HAPPY,MARRIED,PRETTY HAPPY,23,VERY SATISFIED,,GOOD,MIDDLE CLASS,32.4,38.1,33,35.4,,,LIBERAL,TOO LITTLE,TOO LITTLE,ABOUT RIGHT,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,TV,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,,,,,,YES,1
43,FEMALE,WHITE,NORTH,NO,2,2,35,18,1,DETACHED 1-FAM HOUSE,WORKING FULLTIME,PRIMARY/HIGH SCHOOL,13,13,12,13,PRETTY HAPPY,DIVORCED,,21,VERY SATISFIED,YES,GOOD,WORKING CLASS,63.5,70,66.1,68,,,MODERATE,ABOUT RIGHT,ABOUT RIGHT,TOO MUCH,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,,,,,,,,LOOKOUT FOR SELF,USUAL NOT TRUSTED,A GREAT DEAL,ONLY SOME,ONLY SOME,,16
44,FEMALE,WHITE,NORTH,YES,2,2,28,20,1,ROW HOUSE,WORKING FULLTIME,BACHELOR,16,3,5,16,VERY HAPPY,MARRIED,VERY HAPPY,29,MOD. SATISFIED,,EXCELLENT,WORKING CLASS,60.4,34.3,63,67,,,MODERATE,TOO LITTLE,TOO LITTLE,TOO LITTLE,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,,,,,,,,LOOKOUT FOR SELF,USUAL NOT TRUSTED,ONLY SOME,A GREAT DEAL,HARDLY ANY,,2
